Info 0    [17:56:52.990] Starting TS Server
Info 1    [17:56:52.993] Version: 3.7.5
Info 2    [17:56:52.993] Arguments: /home/rodrigo/.nvm/versions/node/v12.14.1/bin/node /home/rodrigo/.nvm/versions/node/v12.14.1/bin/tsserver --logFile /mnt/hdd/projects/cambiatus/frontend/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/a99494ad7ccbab05f38f8ee337dc803f/tscancellation*
Info 3    [17:56:52.993] Platform: linux NodeVersion: 12 CaseSensitive: true
Info 4    [17:56:53.0] Search path: /mnt/hdd/projects/cambiatus/frontend/public/translations
Info 5    [17:56:53.1] For info: /mnt/hdd/projects/cambiatus/frontend/public/translations/en-US.json :: No config files found.
Info 6    [17:56:53.3] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [17:56:59.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 6503ms
Info 8    [17:56:59.506] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [17:56:59.506] 	Files (128)

Info 10   [17:56:59.506] -----------------------------------------------
Info 11   [17:56:59.863] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [17:56:59.895] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 32ms
Info 13   [17:56:59.895] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [17:56:59.895] Structure before ensureProjectForOpenFiles:
Info 15   [17:56:59.895] Structure after ensureProjectForOpenFiles:
Info 16   [17:56:59.895] got projects updated in background, updating diagnostics for /mnt/hdd/projects/cambiatus/frontend/public/translations/en-US.json
Info 17   [18:10:1.312] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [18:10:1.380] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 59ms
Info 19   [18:10:1.380] Different program with same set of files:: oldProgram.structureIsReused:: 2
